store_id,store_name,city,state,region,address,pincode,size,opening_date
STR023,FreshMart Hyderabad 3,Hyderabad,Telangana,South,"96 Standalone, Hyderabad",849245,Small,2021-04-10
STR024,FreshMart Hyderabad 4,Hyderabad,Telangana,South,"29 Standalone, Hyderabad",545051,Medium,2020-11-09
STR025,FreshMart Hyderabad 5,Hyderabad,Telangana,South,"97 Mall, Hyderabad",449405,Medium,2018-08-13
STR026,FreshMart Kolkata 1,Kolkata,West Bengal,East,"88 High Street, Kolkata",842666,Small,2021-05-06
STR027,FreshMart Kolkata 2,Kolkata,West Bengal,East,"49 Commercial Hub, Kolkata",890785,Small,2020-12-19
STR028,FreshMart Kolkata 3,Kolkata,West Bengal,East,"88 Mall, Kolkata",520116,Medium,2021-10-28
STR029,FreshMart Kolkata 4,Kolkata,West Bengal,East,"99 Standalone, Kolkata",756699,Large,2018-08-17
STR030,FreshMart Kolkata 5,Kolkata,West Bengal,East,"21 Commercial Hub, Kolkata",875763,Medium,2018-01-07
STR031,FreshMart Pune 1,Pune,Maharashtra,West,"65 Standalone, Pune",587330,Large,2020-11-05
STR032,FreshMart Pune 2,Pune,Maharashtra,West,"82 Standalone, Pune",932323,Small,2021-06-01
STR033,FreshMart Pune 3,Pune,Maharashtra,West,"48 High Street, Pune",569396,Small,2021-01-09
STR034,FreshMart Pune 4,Pune,Maharashtra,West,"77 Mall, Pune",739902,Large,2020-09-27
STR035,FreshMart Pune 5,Pune,Maharashtra,West,"47 Mall, Pune",722451,Small,2019-05-06
STR036,FreshMart Ahmedabad 1,Ahmedabad,Gujarat,West,"73 High Street, Ahmedabad",482582,Small,2018-06-25
STR037,FreshMart Ahmedabad 2,Ahmedabad,Gujarat,West,"9 Commercial Hub, Ahmedabad",958582,Large,2018-09-15
STR038,FreshMart Ahmedabad 3,Ahmedabad,Gujarat,West,"71 Commercial Hub, Ahmedabad",573148,Small,2019-06-27
STR039,FreshMart Ahmedabad 4,Ahmedabad,Gujarat,West,"28 Commercial Hub, Ahmedabad",965492,Large,2021-11-13
STR040,FreshMart Ahmedabad 5,Ahmedabad,Gujarat,West,"52 Standalone, Ahmedabad",791559,Small,2020-06-16
STR041,FreshMart Jaipur 1,Jaipur,Rajasthan,North,"16 Commercial Hub, Jaipur",659947,Large,2019-04-06
STR042,FreshMart Jaipur 2,Jaipur,Rajasthan,North,"3 Standalone, Jaipur",980828,Small,2019-04-17
STR043,FreshMart Jaipur 3,Jaipur,Rajasthan,North,"1 High Street, Jaipur",474441,Large,2021-12-20
STR044,FreshMart Jaipur 4,Jaipur,Rajasthan,North,"30 Mall, Jaipur",470674,Large,2018-03-06
STR045,FreshMart Jaipur 5,Jaipur,Rajasthan,North,"66 Mall, Jaipur",649565,Medium,2019-07-25
STR046,FreshMart Lucknow 1,Lucknow,Uttar Pradesh,North,"28 Commercial Hub, Lucknow",965427,Large,2018-09-28
STR047,FreshMart Lucknow 2,Lucknow,Uttar Pradesh,North,"32 Commercial Hub, Lucknow",895948,Large,2020-04-13
STR048,FreshMart Lucknow 3,Lucknow,Uttar Pradesh,North,"13 Mall, Lucknow",851989,Small,2019-12-27
STR049,FreshMart Lucknow 4,Lucknow,Uttar Pradesh,North,"60 Commercial Hub, Lucknow",456802,Medium,2021-10-11
STR050,FreshMart Lucknow 5,Lucknow,Uttar Pradesh,North,"8 Mall, Lucknow",822179,Large,2019-11-26
